# Matter power spectrum P(k) at redshift z=0
# for k=1.04206e-05 to 1.08688 h/Mpc,
# number of wavenumbers equal to 603
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.442404770173e-01       3.505189820828e+03 
       1.474462691628e-01       3.340135275599e+03 
       1.506520724766e-01       3.180456938926e+03 
       1.538578847565e-01       3.029575067971e+03 
       1.570637045363e-01       2.891801510773e+03 
       1.602695308067e-01       2.768950398647e+03 
       1.634753628442e-01       2.662171802903e+03 
       1.666812001073e-01       2.571355076122e+03 
       1.698870421723e-01       2.494701459143e+03 
       1.730928886939e-01       2.430409484777e+03 
       1.762987393803e-01       2.375783958162e+03 
       1.795045939783e-01       2.327758155543e+03 
       1.827104522630e-01       2.283506316343e+03 
       1.859163140318e-01       2.240420858518e+03 
       1.891221790996e-01       2.195665946940e+03 
       1.923280472961e-01       2.147909040587e+03 
       1.955339184640e-01       2.095455829760e+03 
       1.987397924569e-01       2.038550582928e+03 
       2.019456691383e-01       1.977787293793e+03 
       2.051515483806e-01       1.913990349433e+03 
       2.083574300644e-01       1.849193156942e+03 
       2.115633140778e-01       1.784819366859e+03 
       2.147692003155e-01       1.722477836620e+03 
       2.179750886785e-01       1.663376449202e+03 
       2.211809790738e-01       1.608170470843e+03 
       2.243868714136e-01       1.557933844633e+03 
       2.275927656151e-01       1.512848958401e+03 
       2.307986616002e-01       1.472806812990e+03 
       2.340045592951e-01       1.437278461494e+03 
       2.372104586301e-01       1.406043882711e+03 
       2.404163595390e-01       1.378177420497e+03 
       2.436222619593e-01       1.352533043343e+03 
       2.468281658318e-01       1.328453938755e+03 
       2.500340711002e-01       1.304663430199e+03 
       2.532399777112e-01       1.280639324187e+03 
       2.564458856141e-01       1.255783889879e+03 
       2.596517947608e-01       1.230031817190e+03 
       2.628577051055e-01       1.203024910059e+03 
       2.660636166046e-01       1.174875713691e+03 
       2.692695292167e-01       1.146069467255e+03 
       2.724754429022e-01       1.116867862818e+03 
       2.756813576234e-01       1.087623422691e+03 
       2.788872733446e-01       1.058989377015e+03 
       2.820931900312e-01       1.031412139755e+03 
       2.852991076508e-01       1.005260649648e+03 
       2.885050261718e-01       9.807196022950e+02 
       2.917109455646e-01       9.582063959421e+02 
       2.949168658004e-01       9.373892630097e+02 
       2.981227868520e-01       9.182527023252e+02 
       3.013287086932e-01       9.005495010416e+02 
       3.045346312989e-01       8.840391268728e+02 
       3.077405546451e-01       8.686066325867e+02 
       3.109464787087e-01       8.537513586266e+02 
       3.141524034678e-01       8.392783205298e+02 
       3.173583289011e-01       8.249763375216e+02 
       3.205642549882e-01       8.106094864818e+02 
       3.237701817098e-01       7.960570909906e+02 
       3.269761090469e-01       7.812671839534e+02 
       3.301820369816e-01       7.662393632452e+02 
       3.333879654967e-01       7.510668668285e+02 
       3.365938945753e-01       7.358605938067e+02 
       3.397998242015e-01       7.208313211891e+02 
       3.430057543599e-01       7.059855222608e+02 
       3.462116850356e-01       6.915712587561e+02 
       3.494176162143e-01       6.776593906914e+02 
       3.526235478822e-01       6.642911092410e+02 
       3.558294800261e-01       6.515985218681e+02 
       3.590354126331e-01       6.395418176635e+02 
       3.622413456909e-01       6.281377551415e+02 
       3.654472791876e-01       6.173529959429e+02 
       3.686532131117e-01       6.070917208983e+02 
       3.718591474520e-01       5.972375947208e+02 
       3.750650821978e-01       5.877264046040e+02 
       3.782710173389e-01       5.784435814288e+02 
       3.814769528652e-01       5.692978884952e+02 
       3.846828887669e-01       5.602828012027e+02 
       3.878888250349e-01       5.513073970642e+02 
       3.910947616600e-01       5.423957152279e+02 
       3.943006986334e-01       5.335046246951e+02 
       3.975066359468e-01       5.246425337808e+02 
       4.007125735919e-01       5.158317122777e+02 
       4.039185115608e-01       5.071279549576e+02 
       4.071244498459e-01       4.985425263631e+02 
       4.103303884396e-01       4.901650019056e+02 
       4.135363273347e-01       4.819416016220e+02 
       4.167422665244e-01       4.739983854523e+02 
       4.199482060018e-01       4.662975793956e+02 
       4.231541457604e-01       4.588489479890e+02 
       4.263600857937e-01       4.516494291829e+02 
       4.295660260957e-01       4.446864680558e+02 
       4.327719666602e-01       4.379497439804e+02 
