# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.04206e-05 to 1.06897 h/Mpc,
# number of wavenumbers equal to 112
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_m                    7:d_tot                  8:phi                    9:psi                   10:t_g                   11:t_b                   12:t_cdm                 13:t_ur                  14:t_tot              
       4.090566602452e-02      -6.140937575727e-01      -4.928009305004e+03      -4.961527182143e+03      -6.127156795649e-01      -4.955745806355e+03      -4.954807865905e+03       1.531789198912e-01       1.531789198912e-01      -9.981464502684e-05       5.853288903518e-01       5.854123398745e-01      -9.932149471029e-05       5.851701686455e-01 
       4.763320214556e-02      -5.316151081623e-01      -5.785899295306e+03      -5.823807234715e+03      -5.304220985212e-01      -5.817405592866e+03      -5.816145457698e+03       1.326055246303e-01       1.326055246303e-01      -8.640765850812e-05       6.871044023785e-01       6.871963236619e-01      -8.598073246530e-05       6.869130068155e-01 
       5.251082028279e-02      -4.878701289754e-01      -6.456634252755e+03      -6.494346663009e+03      -4.867752782969e-01      -6.488012514580e+03      -6.486518809558e+03       1.216938195742e-01       1.216938195742e-01      -7.929764293523e-05       7.663227500417e-01       7.664146886606e-01      -7.890584216187e-05       7.661003795355e-01 
       5.653184566574e-02      -4.587972643230e-01      -7.041804073034e+03      -7.077658486607e+03      -4.577676403821e-01      -7.071640639269e+03      -7.069951226556e+03       1.144419100955e-01       1.144419100955e-01      -7.457193348733e-05       8.352648072947e-01       8.353518154489e-01      -7.420347204062e-05       8.350113123194e-01 
       6.012144562540e-02      -4.363615692367e-01      -7.579128563344e+03      -7.612762190324e+03      -4.353822829354e-01      -7.607112051983e+03      -7.605246643622e+03       1.088455707338e-01       1.088455707338e-01      -7.092499908205e-05       8.985199632004e-01       8.986043292656e-01      -7.057454964061e-05       8.982394963581e-01 
       6.346902549904e-02      -4.172824818629e-01      -8.080803698043e+03      -8.112479414272e+03      -4.163460062377e-01      -8.107152870865e+03      -8.105124684817e+03       1.040865015594e-01       1.040865015594e-01      -6.782391081618e-05       9.575894666077e-01       9.576715861586e-01      -6.748878066768e-05       9.572839985300e-01 
       6.667478077754e-02      -3.999320887468e-01      -8.549445815022e+03      -8.579885220281e+03      -3.990345483982e-01      -8.574767467870e+03      -8.572587472546e+03       9.975863709955e-02       9.975863709955e-02      -6.500390246409e-05       1.012829625190e+00       1.012911323430e+00      -6.468270537816e-05       1.012502191802e+00 
       6.979876605006e-02      -3.834094954000e-01      -8.983666637679e+03      -9.013917399778e+03      -3.825490422012e-01      -9.008843174467e+03      -9.006521904970e+03       9.563726055031e-02       9.563726055031e-02      -6.231903897603e-05       1.064098828663e+00       1.064181779315e+00      -6.201111503540e-05       1.063752393713e+00 
       7.288041743339e-02      -3.672569761244e-01      -9.381953811681e+03      -9.413327751486e+03      -3.664327751930e-01      -9.408090674708e+03      -9.405638665189e+03       9.160819379824e-02       9.160819379824e-02      -5.969375778487e-05       1.111255761690e+00       1.111343713924e+00      -5.939880755700e-05       1.110895092987e+00 
       7.594752163996e-02      -3.512286679049e-01      -9.742494368649e+03      -9.776380067271e+03      -3.504404358654e-01      -9.770761909923e+03      -9.768190000298e+03       8.761010896634e-02       8.761010896634e-02      -5.708819856862e-05       1.154092232946e+00       1.154187373247e+00      -5.680611994500e-05       1.153720863066e+00 
       7.902080562701e-02      -3.352543380794e-01      -1.006480756884e+04      -1.010266214228e+04      -3.345019571534e-01      -1.009643397116e+04      -1.009375306387e+04       8.362548928835e-02       8.362548928835e-02      -5.449147510148e-05       1.192559084152e+00       1.192666516323e+00      -5.422222644227e-05       1.192183023003e+00 
