# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   50       1.912082372000e-10       1.603186395279e-14       7.494022478181e-14       1.014620406018e-16       5.314422951591e-11       5.765136072637e-12      -8.706636570749e-15 
   51       1.939500476266e-10       1.707526441736e-14       4.972533248793e-14       1.055781462346e-16       5.090579052334e-11       5.542727724485e-12      -8.543302520745e-15 
   52       1.967131087081e-10       1.815767084385e-14       2.279727349285e-14       1.097769439562e-16       4.879147585936e-11       5.331660899672e-12      -8.455466741395e-15 
   53       1.994904438785e-10       1.927888793406e-14      -5.819193868919e-15       1.140583857071e-16       4.678480713174e-11       5.131011174467e-12      -8.549481729860e-15 
   54       2.022842778113e-10       2.043907374560e-14      -3.614896956970e-14       1.184224134680e-16       4.488356289896e-11       4.940760560003e-12      -8.816849903001e-15 
   55       2.050987925893e-10       2.163846737826e-14      -6.823240924949e-14       1.228689599676e-16       4.308706298335e-11       4.760908078237e-12      -9.211720869549e-15 
   56       2.079373885420e-10       2.287728796251e-14      -1.021127576937e-13       1.273979488670e-16       4.139131128577e-11       4.591126024089e-12      -9.679407216372e-15 
   57       2.108026069310e-10       2.415573487210e-14      -1.378363672891e-13       1.320092946342e-16       3.978878226036e-11       4.430738678494e-12      -1.015595668944e-14 
   58       2.136960526358e-10       2.547398793664e-14      -1.754529164799e-13       1.367029024189e-16       3.826820738928e-11       4.278701021466e-12      -1.056772437476e-14 
   59       2.166187058343e-10       2.683209027119e-14      -2.150012282190e-13       1.414786742544e-16       3.681767713311e-11       4.133882735745e-12      -1.084886196339e-14 
   60       2.195721171624e-10       2.822956450730e-14      -2.564623833253e-13       1.463365296286e-16       3.543527294488e-11       3.996045582320e-12      -1.099950005451e-14 
   61       2.225573539575e-10       2.966570765672e-14      -2.997960853911e-13       1.512763894773e-16       3.412053133875e-11       3.865055782343e-12      -1.104034541888e-14 
   62       2.255745728484e-10       3.113969696864e-14      -3.449538392420e-13       1.562981703643e-16       3.287124643656e-11       3.740587968643e-12      -1.099612780411e-14 
   63       2.286229556281e-10       3.265058616319e-14      -3.918786812569e-13       1.614017845713e-16       3.168336883160e-11       3.622114247617e-12      -1.089577947447e-14 
   64       2.317006451250e-10       3.419730166498e-14      -4.405049096887e-13       1.665871401863e-16       3.055090445232e-11       3.508893261119e-12      -1.077261475060e-14 
   65       2.348056614052e-10       3.577876278610e-14      -4.907723144973e-13       1.718541543225e-16       2.946756866138e-11       3.400172948600e-12      -1.065701044813e-14 
