# Matter power spectrum P(k) at redshift z=0
# for k=1.04595e-05 to 1.0871 h/Mpc,
# number of wavenumbers equal to 603
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.086077770702e-02       2.342253346831e+04 
       2.099234077932e-02       2.338061388879e+04 
       2.112398220773e-02       2.333778112257e+04 
       2.125570351667e-02       2.329404052926e+04 
       2.138750626779e-02       2.324951227218e+04 
       2.151939206078e-02       2.320414611541e+04 
       2.165136253423e-02       2.315795058399e+04 
       2.178341936652e-02       2.311094573117e+04 
       2.191556427671e-02       2.306312907533e+04 
       2.204779902545e-02       2.301456384132e+04 
       2.218012541601e-02       2.296528818927e+04 
       2.231254529519e-02       2.291524777271e+04 
       2.244506055440e-02       2.286440332703e+04 
       2.257767313070e-02       2.281290767173e+04 
       2.271038500787e-02       2.276071446400e+04 
       2.284319821757e-02       2.270779634652e+04 
       2.297611484045e-02       2.265428697701e+04 
       2.310913700739e-02       2.260003494114e+04 
       2.324226690070e-02       2.254517759313e+04 
       2.337550675540e-02       2.248971582112e+04 
       2.350885886054e-02       2.243364660343e+04 
       2.364232556053e-02       2.237695203297e+04 
       2.377590925655e-02       2.231966008769e+04 
       2.390961240799e-02       2.226183549861e+04 
       2.404343753394e-02       2.220342934260e+04 
       2.417738721468e-02       2.214446703426e+04 
       2.431146409334e-02       2.208497173094e+04 
       2.444567087745e-02       2.202499977370e+04 
       2.458001034068e-02       2.196443231156e+04 
       2.471448532458e-02       2.190343905175e+04 
       2.484909874034e-02       2.184195887904e+04 
       2.498385357067e-02       2.177997557722e+04 
       2.511875287175e-02       2.171756579821e+04 
       2.525379977515e-02       2.165471164770e+04 
       2.538899748993e-02       2.159134564888e+04 
       2.552434930472e-02       2.152764324220e+04 
       2.565985858994e-02       2.146351629090e+04 
       2.579552880006e-02       2.139897452316e+04 
       2.593136347591e-02       2.133402084547e+04 
       2.606736624713e-02       2.126872503352e+04 
       2.620354083468e-02       2.120301768633e+04 
       2.633989105340e-02       2.113701874787e+04 
