# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   71       2.540606363587e-10       4.595796753457e-14      -8.269407806099e-13       2.051756008952e-16       2.393298413489e-11       2.838721808573e-12      -1.000813425699e-14 
   72       2.573748963540e-10       4.776316314391e-14      -8.888339489558e-13       2.110141456207e-16       2.314619987987e-11       2.758419656842e-12      -9.850086249896e-15 
   73       2.607189625245e-10       4.959686994444e-14      -9.523874188925e-13       2.169344459681e-16       2.239078705415e-11       2.681324350259e-12      -9.669658697752e-15 
   74       2.640940349798e-10       5.145787627975e-14      -1.017558084960e-12       2.229366165027e-16       2.166679762941e-11       2.607423682687e-12      -9.472594288026e-15 
   75       2.675009589597e-10       5.334489535307e-14      -1.084298800236e-12       2.290207888393e-16       2.097378193484e-11       2.536650601450e-12      -9.265323181289e-15 
   76       2.709402023507e-10       5.525656404330e-14      -1.152558301424e-12       2.351871123429e-16       2.031076429616e-11       2.468880564605e-12      -9.054986064152e-15 
   77       2.744118332046e-10       5.719144172102e-14      -1.222281133936e-12       2.414357548303e-16       1.967621867466e-11       2.403928898225e-12      -8.849457202205e-15 
   78       2.779154972555e-10       5.914800906454e-14      -1.293407576982e-12       2.477669032704e-16       1.906804430625e-11       2.341548153666e-12      -8.657367492957e-15 
   79       2.814503954376e-10       6.112466687590e-14      -1.365873568653e-12       2.541807644858e-16       1.848354134051e-11       2.281425464850e-12      -8.488127518777e-15 
   80       2.850157241091e-10       6.311978869516e-14      -1.439616219830e-12       2.606775605928e-16       1.792008143815e-11       2.223260851418e-12      -8.349707405477e-15 
   81       2.886121332289e-10       6.513189177054e-14      -1.514591623481e-12       2.672575128693e-16       1.737730727698e-11       2.167023602831e-12      -8.241481653343e-15 
   82       2.922404815592e-10       6.715949375767e-14      -1.590760015957e-12       2.739208563520e-16       1.685527234251e-11       2.112735803610e-12      -8.160177961809e-15 
   83       2.959013827525e-10       6.920106137370e-14      -1.668080491024e-12       2.806678454421e-16       1.635376858254e-11       2.060394216063e-12      -8.101991853418e-15 
   84       2.995951914380e-10       7.125501020965e-14      -1.746511028442e-12       2.874987545093e-16       1.587231491584e-11       2.009969136567e-12      -8.062568186132e-15 
   85       3.033219893073e-10       7.331970454267e-14      -1.826008522552e-12       2.944138784949e-16       1.541014574078e-11       1.961403251835e-12      -8.036982665631e-15 
   86       3.070815712014e-10       7.539345714835e-14      -1.906528810855e-12       3.014135335153e-16       1.496619944398e-11       1.914610495194e-12      -8.019723357616e-15 
   87       3.108734311963e-10       7.747452911301e-14      -1.988026702598e-12       3.084980574662e-16       1.453910690891e-11       1.869474902854e-12      -8.004672200109e-15 
   88       3.146967486898e-10       7.956112964598e-14      -2.070456007354e-12       3.156678106255e-16       1.412718002461e-11       1.825849470187e-12      -7.985086515763e-15 
   89       3.185507009387e-10       8.165144068041e-14      -2.153768079796e-12       3.229231648110e-16       1.372881369802e-11       1.783592375123e-12      -7.955046249490e-15 
   90       3.224354871882e-10       8.374369550746e-14      -2.237907130093e-12       3.302644675888e-16       1.334378921180e-11       1.742684653493e-12      -7.914096157951e-15 
   91       3.263514403076e-10       8.583611218877e-14      -2.322814227106e-12       3.376920735360e-16       1.297215510031e-11       1.703128961786e-12      -7.863301154223e-15 
   92       3.302987057436e-10       8.792687004716e-14      -2.408428722974e-12       3.452063556133e-16       1.261382662401e-11       1.664913277530e-12      -7.803848830574e-15 
   93       3.342772324970e-10       9.001410985032e-14      -2.494688259471e-12       3.528077055971e-16       1.226858047294e-11       1.628010315374e-12      -7.737052929202e-15 
   94       3.382867640993e-10       9.209593399439e-14      -2.581528774358e-12       3.604965345113e-16       1.193604947011e-11       1.592376943169e-12      -7.664356812965e-15 
   95       3.423268295902e-10       9.417040668771e-14      -2.668884507733e-12       3.682732730596e-16       1.161571727504e-11       1.557953598047e-12      -7.587336936118e-15 
   96       3.463967344939e-10       9.623555413439e-14      -2.756688008390e-12       3.761383720576e-16       1.130691308713e-11       1.524663702503e-12      -7.507706315047e-15 
   97       3.504955517965e-10       9.828936471802e-14      -2.844870140168e-12       3.840923028647e-16       1.100880634916e-11       1.492413080475e-12      -7.427317999004e-15 
   98       3.546221129225e-10       1.003297891853e-13      -2.933360088308e-12       3.921355578164e-16       1.072040145076e-11       1.461089373426e-12      -7.348168540842e-15 
   99       3.587752981472e-10       1.023547877999e-13      -3.022086747452e-12       4.002686533410e-16       1.044076594867e-11       1.430588681605e-12      -7.271997728753e-15 
  100       3.629549742724e-10       1.043624790278e-13      -3.110983096236e-12       4.084921388804e-16       1.016976356089e-11       1.400901055715e-12      -7.199015589269e-15 
  101       3.671611736200e-10       1.063510123509e-13      -3.199982457007e-12       4.168065900415e-16       9.907415638485e-12       1.372036085992e-12      -7.129000683964e-15 
  102       3.713938011202e-10       1.083185239194e-13      -3.289017192264e-12       4.252126064827e-16       9.653674476147e-12       1.343996506609e-12      -7.061686357384e-15 
  103       3.756526289174e-10       1.102631373048e-13      -3.378018727755e-12       4.337108123787e-16       9.408420846188e-12       1.316777941762e-12      -6.996759313972e-15 
  104       3.799372909777e-10       1.121829642528e-13      -3.466917575578e-12       4.423018568853e-16       9.171461532488e-12       1.290368651749e-12      -6.933858195001e-15 
  105       3.842472776940e-10       1.140761054362e-13      -3.555643357285e-12       4.509864146036e-16       8.942526864459e-12       1.264749279058e-12      -6.872572155498e-15 
  106       3.885819304937e-10       1.159406512080e-13      -3.644124826978e-12       4.597651860449e-16       8.721268251010e-12       1.239892594444e-12      -6.812439441177e-15 
  107       3.929404364439e-10       1.177746823547e-13      -3.732289894415e-12       4.686388980953e-16       8.507255714504e-12       1.215763243018e-12      -6.752945965365e-15 
  108       3.973218228590e-10       1.195762708485e-13      -3.820065648105e-12       4.776083044802e-16       8.299975424722e-12       1.192317490323e-12      -6.693523885933e-15 
  109       4.017249519062e-10       1.213434806012e-13      -3.907378378415e-12       4.866741862291e-16       8.098827232825e-12       1.169502968422e-12      -6.633550182220e-15 
  110       4.061487110980e-10       1.230744161770e-13      -3.994154107070e-12       4.958373334742e-16       7.903259964364e-12       1.147270891480e-12      -6.572473282635e-15 
  111       4.105926240480e-10       1.247673744040e-13      -4.080320203145e-12       5.050984872017e-16       7.713202268071e-12       1.125615024083e-12      -6.510214419131e-15 
  112       4.150563081485e-10       1.264207136653e-13      -4.165804018079e-12       5.144583908806e-16       7.528682547869e-12       1.104537248034e-12      -6.446815213172e-15 
  113       4.195392822432e-10       1.280328088831e-13      -4.250532425516e-12       5.239178087406e-16       7.349695033398e-12       1.084035408790e-12      -6.382314053936e-15 
  114       4.240409631589e-10       1.296020527436e-13      -4.334431849380e-12       5.334775260531e-16       7.176198667882e-12       1.064103184097e-12      -6.316745933731e-15 
  115       4.285606622368e-10       1.311268569208e-13      -4.417428291950e-12       5.431383494123e-16       7.008115995985e-12       1.044729952624e-12      -6.250142283406e-15 
  116       4.330975818647e-10       1.326056533009e-13      -4.499447361945e-12       5.529011070165e-16       6.845332051669e-12       1.025900662596e-12      -6.182530807763e-15 
  117       4.376508120077e-10       1.340368952072e-13      -4.580414302595e-12       5.627666489491e-16       6.687693246052e-12       1.007595700427e-12      -6.113935320966e-15 
  118       4.422193267406e-10       1.354190586236e-13      -4.660254019721e-12       5.727358474601e-16       6.535006255272e-12       9.897907593511e-13      -6.044375581958e-15 
  119       4.468019807792e-10       1.367506434197e-13      -4.738891109812e-12       5.828095972469e-16       6.387036908341e-12       9.724567080599e-13      -5.973867129868e-15 
  120       4.513975060116e-10       1.380301745747e-13      -4.816249888105e-12       5.929888157360e-16       6.243509075005e-12       9.555594593321e-13      -5.902421119426e-15 
  121       4.560045080301e-10       1.392562034020e-13      -4.892254416659e-12       6.032744433634e-16       6.104103553603e-12       9.390598386683e-13      -5.830044156375e-15 
  122       4.606214626629e-10       1.404273087733e-13      -4.966828532435e-12       6.136674438565e-16       5.968456958929e-12       9.229134529237e-13      -5.756738132879e-15 
  123       4.652468992368e-10       1.415421459080e-13      -5.039896844161e-12       6.241687644257e-16       5.836240149336e-12       9.070810531940e-13      -5.682528978813e-15 
  124       4.698799815931e-10       1.425995964791e-13      -5.111387792787e-12       6.347792105628e-16       5.707406078918e-12       8.915612513122e-13      -5.607557006210e-15 
  125       4.745199875945e-10       1.435986381394e-13      -5.181230997173e-12       6.454995573222e-16       5.581968455726e-12       8.763613318151e-13      -5.531996681898e-15 
  126       4.791661263934e-10       1.445383000834e-13      -5.249356352126e-12       6.563305880879e-16       5.459924271524e-12       8.614870460385e-13      -5.456028703532e-15 
  127       4.838175364327e-10       1.454176646457e-13      -5.315694064097e-12       6.672730945393e-16       5.341253315456e-12       8.469425633173e-13      -5.379840062500e-15 
  128       4.884732834462e-10       1.462358688997e-13      -5.380174686885e-12       6.783278766171e-16       5.225917687696e-12       8.327304221861e-13      -5.303624106850e-15 
  129       4.931323584600e-10       1.469921062564e-13      -5.442729157333e-12       6.894957424888e-16       5.113861313119e-12       8.188514815787e-13      -5.227580604199e-15 
  130       4.977936757926e-10       1.476856280625e-13      -5.503288831031e-12       7.007775085147e-16       5.005009454949e-12       8.053048720284e-13      -5.151915804652e-15 
  131       5.024560710563e-10       1.483157451992e-13      -5.561785518014e-12       7.121739992134e-16       4.899268228426e-12       7.920879468682e-13      -5.076842503721e-15 
  132       5.071182991573e-10       1.488818296811e-13      -5.618151518463e-12       7.236860472279e-16       4.796524114463e-12       7.791962334307e-13      -5.002580105240e-15 
  133       5.117790322969e-10       1.493833162544e-13      -5.672319658403e-12       7.353144932911e-16       4.696643473307e-12       7.666233842483e-13      -4.929354684282e-15 
  134       5.164368579722e-10       1.498197039953e-13      -5.724223325407e-12       7.470601861916e-16       4.599472058194e-12       7.543611282531e-13      -4.857399050075e-15 
  135       5.210902769768e-10       1.501905579092e-13      -5.773796504289e-12       7.589239827395e-16       4.504834529016e-12       7.423992219772e-13      -4.786952808920e-15 
  136       5.257377014013e-10       1.504955105289e-13      -5.820973812812e-12       7.709067477323e-16       4.412533965972e-12       7.307254007528e-13      -4.718262427108e-15 
  137       5.303775917647e-10       1.507342907214e-13      -5.865691154801e-12       7.830093266851e-16       4.322393656309e-12       7.193277865793e-13      -4.651520959443e-15 
  138       5.350088886542e-10       1.509068100889e-13      -5.907887680223e-12       7.952324609092e-16       4.234388364211e-12       7.082024962352e-13      -4.586680062639e-15 
  139       5.396306221682e-10       1.510130885815e-13      -5.947504096565e-12       8.075768635403e-16       4.148525785718e-12       6.973467315860e-13      -4.523618557960e-15 
  140       5.442417756880e-10       1.510532298456e-13      -5.984482108870e-12       8.200432457803e-16       4.064805278470e-12       6.867563606580e-13      -4.462200703133e-15 
  141       5.488412847616e-10       1.510274229950e-13      -6.018764459355e-12       8.326323166895e-16       3.983217643675e-12       6.764258844307e-13      -4.402275872315e-15 
  142       5.534280359878e-10       1.509359443827e-13      -6.050294967025e-12       8.453447829803e-16       3.903744908086e-12       6.663484036304e-13      -4.343678236050e-15 
  143       5.580008658996e-10       1.507791593718e-13      -6.079018567296e-12       8.581813488095e-16       3.826360105974e-12       6.565155855229e-13      -4.286226441237e-15 
  144       5.625585598485e-10       1.505575241068e-13      -6.104881351615e-12       8.711427155718e-16       3.751027061106e-12       6.469176307067e-13      -4.229723291090e-15 
  145       5.670998508880e-10       1.502715872850e-13      -6.127830607074e-12       8.842295816920e-16       3.677700168720e-12       6.375432399059e-13      -4.173955425101e-15 
  146       5.716234186577e-10       1.499219919277e-13      -6.147814856031e-12       8.974426424184e-16       3.606324177493e-12       6.283795807633e-13      -4.118692999005e-15 
  147       5.761278882668e-10       1.495094771516e-13      -6.164783895730e-12       9.107825896153e-16       3.536833971524e-12       6.194122546334e-13      -4.063689364739e-15 
  148       5.806118291783e-10       1.490348799398e-13      -6.178688837919e-12       9.242501115565e-16       3.469154352306e-12       6.106252633752e-13      -4.008680750410e-15 
  149       5.850737540927e-10       1.484991369135e-13      -6.189482148468e-12       9.378458927174e-16       3.403199820698e-12       6.020009761455e-13      -3.953385940253e-15 
  150       5.895121178318e-10       1.479032861028e-13      -6.197117686988e-12       9.515706135687e-16       3.338874358903e-12       5.935200961921e-13      -3.897505954597e-15 
  151       5.939253162226e-10       1.472484687183e-13      -6.201550746451e-12       9.654249503686e-16       3.276071212443e-12       5.851616276460e-13      -3.840723729825e-15 
  152       5.983116849810e-10       1.465359309222e-13      -6.202738092808e-12       9.794095749560e-16       3.214672672131e-12       5.769028423155e-13      -3.782703798341e-15 
  153       6.026696206480e-10       1.457670090353e-13      -6.200638228965e-12       9.935250997996e-16       3.154574412701e-12       5.687245275303e-13      -3.723173698971e-15 
  154       6.069979583926e-10       1.449430798821e-13      -6.195212130953e-12       1.007771907833e-15       3.095761512762e-12       5.606273483580e-13      -3.662177395225e-15 
  155       6.112956273563e-10       1.440656091863e-13      -6.186422656031e-12       1.022150306338e-15       3.038239117115e-12       5.526169498112e-13      -3.599844908455e-15 
  156       6.155615312657e-10       1.431361693938e-13      -6.174234364903e-12       1.036660579781e-15       2.982008422894e-12       5.446988062065e-13      -3.536312799551e-15 
  157       6.197945479385e-10       1.421564413591e-13      -6.158613562473e-12       1.051302989333e-15       2.927066586606e-12       5.368782148536e-13      -3.471724265159e-15 
  158       6.239935287888e-10       1.411282160328e-13      -6.139528338608e-12       1.066077772377e-15       2.873406631171e-12       5.291602897446e-13      -3.406229233887e-15 
  159       6.281572983323e-10       1.400533961479e-13      -6.116948608904e-12       1.080985142028e-15       2.821017352962e-12       5.215499552429e-13      -3.339984462521e-15 
  160       6.322846536922e-10       1.389339979073e-13      -6.090846155441e-12       1.096025286645e-15       2.769883228845e-12       5.140519397724e-13      -3.273153632232e-15 
  161       6.363743641041e-10       1.377721526703e-13      -6.061194667548e-12       1.111198369344e-15       2.719984323223e-12       5.066707695068e-13      -3.205907444793e-15 
  162       6.404251704218e-10       1.365701086395e-13      -6.027969782565e-12       1.126504527511e-15       2.671296195072e-12       4.994107620586e-13      -3.138423718786e-15 
  163       6.444357846228e-10       1.353302325481e-13      -5.991149126600e-12       1.141943872321e-15       2.623789804983e-12       4.922760201682e-13      -3.070887485815e-15 
  164       6.484048893134e-10       1.340550113464e-13      -5.950712355298e-12       1.157516488247e-15       2.577431422206e-12       4.852704253931e-13      -3.003491086719e-15 
  165       6.523311372347e-10       1.327470538890e-13      -5.906641194594e-12       1.173222432578e-15       2.532182531684e-12       4.783976317969e-13      -2.936434267782e-15 
  166       6.562131507673e-10       1.314090926216e-13      -5.858919481481e-12       1.189061734929e-15       2.487999741101e-12       4.716610596386e-13      -2.869924276947e-15 
  167       6.600495214375e-10       1.300439852679e-13      -5.807533204767e-12       1.205034396758e-15       2.444834687913e-12       4.650638890616e-13      -2.804175960023e-15 
  168       6.638388094222e-10       1.286547165163e-13      -5.752470545839e-12       1.221140390880e-15       2.402633946400e-12       4.586090537832e-13      -2.739411856901e-15 
  169       6.675795430545e-10       1.272443997075e-13      -5.693721919424e-12       1.237379660981e-15       2.361338934697e-12       4.522992347830e-13      -2.675862297764e-15 
  170       6.712702183294e-10       1.258162785205e-13      -5.631280014351e-12       1.253752121129e-15       2.320885821839e-12       4.461368539927e-13      -2.613765499299e-15 
  171       6.749093976097e-10       1.243736297858e-13      -5.565139093178e-12       1.270257630971e-15       2.281218441978e-12       4.401234343406e-13      -2.553316608803e-15 
  172       6.784960160163e-10       1.229194592960e-13      -5.495292740225e-12       1.286895920003e-15       2.242328440011e-12       4.342576332197e-13      -2.494509867289e-15 
  173       6.820290997564e-10       1.214567837462e-13      -5.421736003004e-12       1.303666656024e-15       2.204218310787e-12       4.285370321914e-13      -2.437283408860e-15 
