# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   86       3.084801661183e-10       7.578096225807e-14      -1.933458487755e-12       0.000000000000e+00       1.437971904382e-11       2.048927294039e-12      -7.947267925489e-15 
   87       3.122977968963e-10       7.786642615163e-14      -2.015683255978e-12       0.000000000000e+00       1.396801261872e-11       2.002755945199e-12      -7.865218424083e-15 
   88       3.161469104661e-10       7.995688554432e-14      -2.098833325193e-12       0.000000000000e+00       1.357097736255e-11       1.958017224776e-12      -7.785476901651e-15 
   89       3.200265808392e-10       8.205050214168e-14      -2.182857816150e-12       0.000000000000e+00       1.318705790787e-11       1.914533532728e-12      -7.706724263251e-15 
   90       3.239369987386e-10       8.414548190415e-14      -2.267699844419e-12       0.000000000000e+00       1.281604040884e-11       1.872290833754e-12      -7.628984788801e-15 
   91       3.278785152433e-10       8.624001344661e-14      -2.353299691737e-12       0.000000000000e+00       1.245796980221e-11       1.831308489398e-12      -7.552637653647e-15 
   92       3.318512966643e-10       8.833224630356e-14      -2.439595936160e-12       0.000000000000e+00       1.211276231135e-11       1.791592718410e-12      -7.478065976787e-15 
   93       3.358553155995e-10       9.042029112050e-14      -2.526525459553e-12       0.000000000000e+00       1.178020033398e-11       1.753136052663e-12      -7.405656509299e-15 
   94       3.398903419874e-10       9.250221984525e-14      -2.614023455090e-12       0.000000000000e+00       1.145992732984e-11       1.715916793063e-12      -7.335799322765e-15 
   95       3.439559341620e-10       9.457606591926e-14      -2.702023434739e-12       0.000000000000e+00       1.115144270849e-11       1.679898465467e-12      -7.268887497707e-15 
