# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   53       2.002460638566e-10       1.949317994281e-14      -1.126859239674e-14       1.095325822524e-16       4.516109856623e-11       5.262286524013e-12      -8.466097351034e-15 
   54       2.030697360168e-10       2.066545778606e-14      -4.220114438896e-14       1.137235619843e-16       4.331703226956e-11       5.078483350440e-12      -8.675528710946e-15 
   55       2.059237977483e-10       2.187745582370e-14      -7.493017068687e-14       1.179937345307e-16       4.157501849705e-11       4.904179036425e-12      -8.998972838800e-15 
   56       2.088077735781e-10       2.312930408223e-14      -1.094806412894e-13       1.223430204596e-16       3.993113781601e-11       4.738938995448e-12      -9.394270540114e-15 
   57       2.117196687374e-10       2.442109817585e-14      -1.458777964714e-13       1.267713313060e-16       3.837803886897e-11       4.581977803605e-12      -9.811912894616e-15 
   58       2.146558613373e-10       2.575289886497e-14      -1.841472391582e-13       1.312785694528e-16       3.690473089104e-11       4.432137977078e-12      -1.019469903519e-14 
   59       2.176127093489e-10       2.712463469068e-14      -2.243070023247e-13       1.358646353561e-16       3.549960174488e-11       4.288230377457e-12      -1.049043102923e-14 
   60       2.205920522219e-10       2.853578447663e-14      -2.663413901835e-13       1.405294514496e-16       3.416076170737e-11       4.150195941334e-12      -1.069421845013e-14 
   61       2.235967986136e-10       2.998562018337e-14      -3.102212146037e-13       1.452729435911e-16       3.288773939130e-11       4.018176710582e-12      -1.081541081958e-14 
   62       2.266292752413e-10       3.147329369853e-14      -3.559111099620e-13       1.500950343338e-16       3.167837129698e-11       3.892169144765e-12      -1.086552199436e-14 
   63       2.296911771876e-10       3.299783310975e-14      -4.033693534834e-13       1.549956430558e-16       3.052870366926e-11       3.772015157184e-12      -1.085832988095e-14 
   64       2.327835182058e-10       3.455813897769e-14      -4.525476855827e-13       1.599746860909e-16       2.943289435449e-11       3.657393150923e-12      -1.080997615017e-14 
   65       2.359068957313e-10       3.615310971324e-14      -5.034013328354e-13       1.650320893752e-16       2.838482061709e-11       3.547919552189e-12      -1.073594633783e-14 
   66       2.390624627721e-10       3.778205694291e-14      -5.559219476276e-13       1.701678292120e-16       2.738351880365e-11       3.443498537562e-12      -1.064104281247e-14 
   67       2.422510736220e-10       3.944437170815e-14      -6.101113440092e-13       1.753819003981e-16       2.642872466982e-11       3.344030567880e-12      -1.052746023033e-14 
   68       2.454729471886e-10       4.113940300965e-14      -6.659720143772e-13       1.806743049394e-16       2.551921959304e-11       3.249302663111e-12      -1.039772998884e-14 
   69       2.487276261024e-10       4.286645769162e-14      -7.235072352056e-13       1.860450525308e-16       2.465278014871e-11       3.158982529235e-12      -1.025473267933e-14 
   70       2.520139358240e-10       4.462480032610e-14      -7.827211727739e-13       1.914941610363e-16       2.382612768632e-11       3.072612685124e-12      -1.010171053972e-14 
   71       2.553299437528e-10       4.641365309715e-14      -8.436189888970e-13       1.970216569694e-16       2.303487790559e-11       2.989604589418e-12      -9.942279907214e-15 
   72       2.586737682029e-10       4.823214487007e-14      -9.061995253787e-13       2.026275843077e-16       2.227466634320e-11       2.909388470531e-12      -9.779935649235e-15 
   73       2.620462759737e-10       5.007914733793e-14      -9.704314967426e-13       2.083120318307e-16       2.154488699436e-11       2.831909163610e-12      -9.616426657099e-15 
   74       2.654488310907e-10       5.195340706781e-14      -1.036272897490e-12       2.140751119217e-16       2.084558353684e-11       2.757215278934e-12      -9.453089580584e-15 
   75       2.688824696941e-10       5.385359227495e-14      -1.103677955848e-12       2.199169533567e-16       2.017631382982e-11       2.685309652965e-12      -9.291330060216e-15 
   76       2.723478785504e-10       5.577829154687e-14      -1.172597070064e-12       2.258377019749e-16       1.953612633728e-11       2.616147030091e-12      -9.132623581302e-15 
   77       2.758453735637e-10       5.772601256752e-14      -1.242976744695e-12       2.318375213487e-16       1.892353655142e-11       2.549631744374e-12      -8.978516327943e-15 
   78       2.793748782875e-10       5.969518084136e-14      -1.314759526910e-12       2.379165934548e-16       1.833650341610e-11       2.485615401289e-12      -8.830626037071e-15 
   79       2.829359024362e-10       6.168413841746e-14      -1.387883942774e-12       2.440751193440e-16       1.777240575021e-11       2.423894559476e-12      -8.690642852463e-15 
   80       2.865279134596e-10       6.369120347994e-14      -1.462289232581e-12       2.503133139948e-16       1.722869209557e-11       2.364265287170e-12      -8.559970456476e-15 
   81       2.901515728563e-10       6.571486384421e-14      -1.537930644045e-12       2.566313883704e-16       1.670501209852e-11       2.306702842948e-12      -8.438575812722e-15 
   82       2.938076763435e-10       6.775361489262e-14      -1.614766691153e-12       2.630295654550e-16       1.620141397047e-11       2.251209113509e-12      -8.325940286495e-15 
   83       2.974967658739e-10       6.980590154638e-14      -1.692754615806e-12       2.695080863476e-16       1.571769300534e-11       2.197757265034e-12      -8.221395906523e-15 
   84       3.012191154262e-10       7.187011811684e-14      -1.771850412984e-12       2.760672108248e-16       1.525338047383e-11       2.146290478169e-12      -8.124119557471e-15 
   85       3.049747167956e-10       7.394460815674e-14      -1.852008855910e-12       2.827072179037e-16       1.480773251767e-11       2.096720683000e-12      -8.033127172446e-15 
   86       3.087632653842e-10       7.602766431148e-14      -1.933183521214e-12       2.894284064042e-16       1.437971904382e-11       2.048927294039e-12      -7.947267925489e-15 
   87       3.125841459917e-10       7.811752817040e-14      -2.015326814103e-12       2.962310955118e-16       1.396801261872e-11       2.002755945199e-12      -7.865218424083e-15 
   88       3.164364186055e-10       8.021239011803e-14      -2.098389993517e-12       3.031156253404e-16       1.357097736255e-11       1.958017224776e-12      -7.785476901651e-15 
   89       3.203191552949e-10       8.231041219857e-14      -2.182322027375e-12       3.100823491507e-16       1.318705790787e-11       1.914533532728e-12      -7.706724263251e-15 
   90       3.242325424301e-10       8.440980114395e-14      -2.267065897642e-12       3.171316073809e-16       1.281604040884e-11       1.872290833754e-12      -7.628984788801e-15 
   91       3.281769259900e-10       8.650874658076e-14      -2.352561759311e-12       3.242637505599e-16       1.245796980221e-11       1.831308489398e-12      -7.552637653647e-15 
   92       3.321524670265e-10       8.860539923015e-14      -2.438748066264e-12       3.314791477205e-16       1.211276231135e-11       1.791592718410e-12      -7.478065976787e-15 
   93       3.361591327147e-10       9.069787110384e-14      -2.525561578909e-12       3.387781868368e-16       1.178020033398e-11       1.753136052663e-12      -7.405656509299e-15 
   94       3.401966874040e-10       9.278423570014e-14      -2.612937371817e-12       3.461612752623e-16       1.145992732984e-11       1.715916793063e-12      -7.335799322765e-15 
