# Matter power spectrum P(k) at redshift z=0
# for k=1.04595e-05 to 1.0871 h/Mpc,
# number of wavenumbers equal to 603
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       4.968028901898e-02       2.531113003818e+07 
       5.010110455025e-02       3.041997785397e+07 
       5.053976639221e-02       3.689125078976e+07 
       5.099805341175e-02       4.518305177367e+07 
       5.147800114538e-02       5.594295157097e+07 
       5.198194992303e-02       7.009979874294e+07 
       5.251260383619e-02       8.901245783554e+07 
       5.307310327366e-02       1.147058494161e+08 
       5.366711442156e-02       1.502646989114e+08 
       5.429893989830e-02       2.004921994874e+08 
       5.497365550233e-02       2.730602968438e+08 
       5.569727871036e-02       3.805582116545e+08 
       5.647697466374e-02       5.442895519724e+08 
       5.732130405290e-02       8.015695238868e+08 
       5.824051282784e-02       1.220441787073e+09 
       5.924685276739e-02       1.930961371675e+09 
       6.035489888279e-02       3.195788313731e+09 
       6.158178531351e-02       5.579905037402e+09 
       6.294720433970e-02       1.038477095016e+10 
       6.447289755103e-02       2.081803472157e+10 
       6.618123948228e-02       4.529702524833e+10 
       6.809248197195e-02       1.072886345604e+11 
       7.022053602821e-02       2.765030108318e+11 
       7.256808306568e-02       7.792608274871e+11 
       7.512311017323e-02       2.395002644807e+12 
       7.785939638797e-02       7.861317379937e+12 
       8.074165266631e-02       2.720875503676e+13 
       8.373292199852e-02       1.006928962744e+14 
       8.680063502811e-02       4.023646439028e+14 
       8.991943776156e-02       1.653832879060e+15 
       9.307124070550e-02       6.902644114847e+15 
       9.624387697760e-02       3.070982392772e+16 
       9.942947308224e-02       1.459651564188e+17 
       1.026230576583e-01       6.946951358161e+17 
       1.058215396344e-01       3.158904737897e+18 
       1.090230151510e-01       1.404599773796e+19 
       1.122263182806e-01       6.351780360801e+19 
       1.154307374217e-01       2.862178003219e+20 
       1.186358390825e-01       1.252932278116e+21 
       1.218413594245e-01       5.332088899125e+21 
       1.250471378911e-01       2.201939581059e+22 
       1.282530767293e-01       9.024808047570e+22 
       1.314591163540e-01       3.873378804473e+23 
       1.346652203727e-01       1.772981613871e+24 
       1.378713664884e-01       8.317180574385e+24 
       1.410775409753e-01       3.848353615906e+25 
       1.442837353244e-01       1.757809469485e+26 
       1.474899442070e-01       8.127251610211e+26 
       1.506961642370e-01       3.817651224133e+27 
       1.539023932190e-01       1.745796194649e+28 
       1.571086296913e-01       7.543456170303e+28 
       1.603148726470e-01       3.288667011278e+29 
       1.635211213646e-01       1.438984567497e+30 
       1.667273753036e-01       6.000900142612e+30 
       1.699336340410e-01       2.451455666786e+31 
       1.731398972320e-01       1.047521831446e+32 
       1.763461645853e-01       4.762265775876e+32 
       1.795524358478e-01       2.223956349447e+33 
       1.827587107950e-01       1.040931726212e+34 
       1.859649892243e-01       4.913773316399e+34 
       1.891712709509e-01       2.309783059800e+35 
       1.923775558045e-01       1.045531515598e+36 
       1.955838436280e-01       4.822605688846e+36 
       1.987901342750e-01       2.256230880179e+37 
       2.019964276091e-01       9.904199094294e+37 
       2.052027235029e-01       4.022728834750e+38 
       2.084090218370e-01       1.637538806430e+39 
       2.116153224995e-01       6.897670062255e+39 
       2.148216253853e-01       2.925628123009e+40 
       2.180279303954e-01       1.276252901351e+41 
       2.212342374368e-01       5.890449167298e+41 
       2.244405464217e-01       2.759822256837e+42 
       2.276468572676e-01       1.316547621907e+43 
       2.308531698963e-01       6.004732226774e+43 
       2.340594842340e-01       2.782867069559e+44 
       2.372658002110e-01       1.344492862533e+45 
       2.404721177612e-01       6.240035650652e+45 
       2.436784368222e-01       2.696288251671e+46 
       2.468847573347e-01       1.134886942991e+47 
       2.500910792426e-01       4.678704342042e+47 
       2.532974024925e-01       1.911209918381e+48 
       2.565037270337e-01       8.000090090793e+48 
       2.597100528182e-01       3.506969713894e+49 
       2.629163798002e-01       1.556184398668e+50 
       2.661227079362e-01       6.713688088006e+50 
       2.693290371846e-01       3.016030110031e+51 
       2.725353675061e-01       1.497644693271e+52 
       2.757416988629e-01       7.406878662062e+52 
       2.789480312192e-01       3.387116349927e+53 
       2.821543645406e-01       1.499122580042e+54 
       2.853606987945e-01       6.702090969822e+54 
       2.885670339496e-01       2.938417406502e+55 
       2.917733699761e-01       1.254171290033e+56 
       2.949797068453e-01       5.331748978920e+56 
       2.981860445300e-01       2.251526829961e+57 
       3.013923830039e-01       9.663531314729e+57 
       3.045987222421e-01       4.189251534315e+58 
       3.078050622205e-01       1.792858462375e+59 
       3.110114029161e-01       7.835634708572e+59 
       3.142177443068e-01       3.548232689306e+60 
       3.174240863716e-01       1.647018653529e+61 
       3.206304290899e-01       7.768132350738e+61 
       3.238367724424e-01       3.552438416582e+62 
       3.270431164103e-01       1.504470636021e+63 
       3.302494609756e-01       6.204977847595e+63 
       3.334558061210e-01       2.618583992743e+64 
       3.366621518297e-01       1.237513491099e+65 
       3.398684980859e-01       5.408723244065e+65 
       3.430748448741e-01       2.344386669424e+66 
       3.462811921793e-01       9.929001007329e+66 
       3.494875399875e-01       4.502472709624e+67 
       3.526938882846e-01       2.080081776440e+68 
       3.559002370576e-01       9.644376995306e+68 
       3.591065862936e-01       4.490804592477e+69 
       3.623129359801e-01       1.967277965660e+70 
       3.655192861054e-01       8.181793958669e+70 
       3.687256366580e-01       3.496641525120e+71 
       3.719319876266e-01       1.505417206691e+72 
       3.751383390007e-01       6.215713114369e+72 
       3.783446907699e-01       2.509636914263e+73 
       3.815510429241e-01       1.030354762547e+74 
       3.847573954537e-01       4.512420686054e+74 
       3.879637483494e-01       2.003218518670e+75 
       3.911701016021e-01       8.777971434734e+75 
       3.943764552030e-01       4.205034504025e+76 
       3.975828091438e-01       2.161877160146e+77 
       4.007891634162e-01       1.073028129426e+78 
       4.039955180123e-01       4.925869337102e+78 
       4.072018729244e-01       2.096352503314e+79 
       4.104082281451e-01       8.728183537755e+79 
       4.136145836672e-01       3.693399802717e+80 
       4.168209394837e-01       1.558623902262e+81 
       4.200272955878e-01       6.454004121808e+81 
       4.232336519729e-01       2.574297151938e+82 
       4.264400086328e-01       9.783072598592e+82 
       4.296463655613e-01       3.873336640148e+83 
       4.328527227522e-01       1.851721671363e+84 
       4.360590801999e-01       8.710512382258e+84 
       4.392654378987e-01       3.965859030068e+85 
       4.424717958431e-01       1.878235065534e+86 
       4.456781540278e-01       9.245537714812e+86 
       4.488845124476e-01       4.450029984031e+87 
       4.520908710975e-01       2.020449179882e+88 
       4.552972299726e-01       8.435273526025e+88 
       4.585035890682e-01       3.436288168305e+89 
       4.617099483797e-01       1.455588130560e+90 
       4.649163079026e-01       5.917387548613e+90 
       4.681226676325e-01       2.349989255791e+91 
       4.713290275652e-01       9.327178520136e+91 
       4.745353876966e-01       3.770741872314e+92 
       4.777417480226e-01       1.695975417838e+93 
       4.809481085394e-01       8.375037805169e+93 
