# Matter power spectrum P(k) at redshift z=0
# for k=1.04588e-05 to 1.08705 h/Mpc,
# number of wavenumbers equal to 603
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.511773987822e-02       2.137366751510e+04 
       2.525278203428e-02       2.131096706384e+04 
       2.538797499274e-02       2.124783464930e+04 
       2.552332204203e-02       2.118431191463e+04 
       2.565882655234e-02       2.112043340378e+04 
       2.579449197791e-02       2.105613437067e+04 
       2.593032185935e-02       2.099147685697e+04 
       2.606631982606e-02       2.092639577003e+04 
       2.620248959875e-02       2.086101943233e+04 
       2.633883499203e-02       2.079531570825e+04 
       2.647535991705e-02       2.072927200526e+04 
       2.661206838436e-02       2.066292803930e+04 
       2.674896450671e-02       2.059621326516e+04 
       2.688605250205e-02       2.052922997451e+04 
       2.702333669664e-02       2.046195014131e+04 
       2.716082152821e-02       2.039441052553e+04 
       2.729851154929e-02       2.032660477888e+04 
       2.743641143066e-02       2.025851481925e+04 
       2.757452596487e-02       2.019019261897e+04 
       2.771286006997e-02       2.012163999018e+04 
       2.785141879334e-02       2.005283543051e+04 
       2.799020731563e-02       1.998381397287e+04 
       2.812923095492e-02       1.991454823460e+04 
       2.826849517101e-02       1.984509480169e+04 
       2.840800556983e-02       1.977544230413e+04 
       2.854776790812e-02       1.970556604699e+04 
       2.868778809819e-02       1.963553587240e+04 
       2.882807221291e-02       1.956536571539e+04 
       2.896862649094e-02       1.949502719963e+04 
       2.910945734210e-02       1.942448985553e+04 
       2.925057135301e-02       1.935385457789e+04 
       2.939197529290e-02       1.928300996572e+04 
       2.953367611974e-02       1.921208228649e+04 
       2.967568098656e-02       1.914097395215e+04 
       2.981799724804e-02       1.906984381041e+04 
       2.996063246741e-02       1.899846385870e+04 
       3.010359442363e-02       1.892707615301e+04 
       3.024689111886e-02       1.885553904241e+04 
       3.039053078624e-02       1.878397616304e+04 
       3.053452189808e-02       1.871225331348e+04 
       3.067887317433e-02       1.864048696530e+04 
       3.082359359147e-02       1.856860859111e+04 
