# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   77       2.741511856416e-10       5.697530435775e-14      -1.222024730185e-12       0.000000000000e+00       1.967621867466e-11       2.403928898225e-12      -8.849457202205e-15 
   78       2.776506788675e-10       5.892729943345e-14      -1.293191619258e-12       0.000000000000e+00       1.906804430625e-11       2.341548153666e-12      -8.657367492957e-15 
   79       2.811814768956e-10       6.089937929958e-14      -1.365702176329e-12       0.000000000000e+00       1.848354134051e-11       2.281425464850e-12      -8.488127518777e-15 
   80       2.847427806783e-10       6.288991769275e-14      -1.439493672624e-12       0.000000000000e+00       1.792008143815e-11       2.223260851418e-12      -8.349707405477e-15 
   81       2.883352432337e-10       6.489743242318e-14      -1.514522360186e-12       0.000000000000e+00       1.737730727698e-11       2.167023602831e-12      -8.241481653343e-15 
   82       2.919597258834e-10       6.692044173248e-14      -1.590748634731e-12       0.000000000000e+00       1.685527234251e-11       2.112735803610e-12      -8.160177961809e-15 
   83       2.956168447059e-10       6.895741282363e-14      -1.668131750192e-12       0.000000000000e+00       1.635376858254e-11       2.060394216063e-12      -8.101991853418e-15 
   84       2.993069566175e-10       7.100676166964e-14      -1.746629847229e-12       0.000000000000e+00       1.587231491584e-11       2.009969136567e-12      -8.062568186132e-15 
   85       3.030301454538e-10       7.306685282228e-14      -1.826199981732e-12       0.000000000000e+00       1.541014574078e-11       1.961403251835e-12      -8.036982665631e-15 
   86       3.067862080496e-10       7.513599922076e-14      -1.906798153331e-12       0.000000000000e+00       1.496619944398e-11       1.914610495194e-12      -8.019723357616e-15 
   87       3.105746403209e-10       7.721246200051e-14      -1.988379333901e-12       0.000000000000e+00       1.453910690891e-11       1.869474902854e-12      -8.004672200109e-15 
   88       3.143946233449e-10       7.929445030180e-14      -2.070897496072e-12       0.000000000000e+00       1.412718002461e-11       1.825849470187e-12      -7.985086515763e-15 
   89       3.182453365046e-10       8.138014579435e-14      -2.154304153225e-12       0.000000000000e+00       1.372881369802e-11       1.783592375123e-12      -7.955046249490e-15 
   90       3.221269835571e-10       8.346778107680e-14      -2.238543654870e-12       0.000000000000e+00       1.334378921180e-11       1.742684653493e-12      -7.914096157951e-15 
   91       3.260399026259e-10       8.555557328034e-14      -2.323557202355e-12       0.000000000000e+00       1.297215510031e-11       1.703128961786e-12      -7.863301154223e-15 
   92       3.299842445731e-10       8.764170062414e-14      -2.409284277800e-12       0.000000000000e+00       1.261382662401e-11       1.664913277530e-12      -7.803848830574e-15 
   93       3.339599639804e-10       8.972430259435e-14      -2.495662650302e-12       0.000000000000e+00       1.226858047294e-11       1.628010315374e-12      -7.737052929202e-15 
   94       3.379668101291e-10       9.180148012310e-14      -2.582628382144e-12       0.000000000000e+00       1.193604947011e-11       1.592376943169e-12      -7.664356812965e-15 
   95       3.420043179817e-10       9.387129576746e-14      -2.670115835002e-12       0.000000000000e+00       1.161571727504e-11       1.557953598047e-12      -7.587336936118e-15 
   96       3.460717991619e-10       9.593177388842e-14      -2.758057676153e-12       0.000000000000e+00       1.130691308713e-11       1.524663702503e-12      -7.507706315047e-15 
   97       3.501683329359e-10       9.798090082992e-14      -2.846384884681e-12       0.000000000000e+00       1.100880634916e-11       1.492413080475e-12      -7.427317999004e-15 
   98       3.542927571928e-10       1.000166250978e-13      -2.935026757686e-12       0.000000000000e+00       1.072040145076e-11       1.461089373426e-12      -7.348168540842e-15 
   99       3.584439587470e-10       1.020369041085e-13      -3.023912292623e-12       0.000000000000e+00       1.044076594867e-11       1.430588681605e-12      -7.271997728753e-15 
  100       3.626218106592e-10       1.040398516046e-13      -3.112974544313e-12       0.000000000000e+00       1.016976356089e-11       1.400901055715e-12      -7.199015589269e-15 
  101       3.668263515413e-10       1.060236115489e-13      -3.202146899469e-12       0.000000000000e+00       9.907415638485e-12       1.372036085992e-12      -7.129000683964e-15 
  102       3.710574927563e-10       1.079863141517e-13      -3.291361778215e-12       0.000000000000e+00       9.653674476147e-12       1.343996506609e-12      -7.061686357384e-15 
  103       3.753150130270e-10       1.099260766142e-13      -3.380550656977e-12       0.000000000000e+00       9.408420846188e-12       1.316777941762e-12      -6.996759313972e-15 
  104       3.795985530448e-10       1.118410038720e-13      -3.469644091373e-12       0.000000000000e+00       9.171461532488e-12       1.290368651749e-12      -6.933858195001e-15 
  105       3.839076100788e-10       1.137291893386e-13      -3.558571739093e-12       0.000000000000e+00       8.942526864459e-12       1.264749279058e-12      -6.872572155498e-15 
  106       3.882415325843e-10       1.155887156488e-13      -3.647262382797e-12       0.000000000000e+00       8.721268251010e-12       1.239892594444e-12      -6.812439441177e-15 
  107       3.925995148123e-10       1.174176554021e-13      -3.735643952992e-12       0.000000000000e+00       8.507255714504e-12       1.215763243018e-12      -6.752945965365e-15 
  108       3.969805914177e-10       1.192140719065e-13      -3.823643550931e-12       0.000000000000e+00       8.299975424722e-12       1.192317490323e-12      -6.693523885933e-15 
  109       4.013836320684e-10       1.209760199213e-13      -3.911187471492e-12       0.000000000000e+00       8.098827232825e-12       1.169502968422e-12      -6.633550182220e-15 
  110       4.058075311397e-10       1.227015948054e-13      -3.998201734811e-12       0.000000000000e+00       7.903259964364e-12       1.147270891480e-12      -6.572473282635e-15 
  111       4.102518159539e-10       1.243890855119e-13      -4.084613709396e-12       0.000000000000e+00       7.713202268071e-12       1.125615024083e-12      -6.510214419131e-15 
  112       4.147161066550e-10       1.260368426559e-13      -4.170350740532e-12       0.000000000000e+00       7.528682547869e-12       1.104537248034e-12      -6.446815213172e-15 
  113       4.191999246477e-10       1.276432330657e-13      -4.255339687684e-12       0.000000000000e+00       7.349695033398e-12       1.084035408790e-12      -6.382314053936e-15 
  114       4.237026891240e-10       1.292066410018e-13      -4.339506952377e-12       0.000000000000e+00       7.176198667882e-12       1.064103184097e-12      -6.316745933731e-15 
  115       4.282237135887e-10       1.307254693768e-13      -4.422778506090e-12       0.000000000000e+00       7.008115995985e-12       1.044729952624e-12      -6.250142283406e-15 
  116       4.327622023862e-10       1.321981409739e-13      -4.505079918141e-12       0.000000000000e+00       6.845332051669e-12       1.025900662596e-12      -6.182530807763e-15 
  117       4.373172472263e-10       1.336230996661e-13      -4.586336383572e-12       0.000000000000e+00       6.687693246052e-12       1.007595700427e-12      -6.113935320966e-15 
  118       4.418878237104e-10       1.349988116360e-13      -4.666472751043e-12       0.000000000000e+00       6.535006255272e-12       9.897907593511e-13      -6.044375581958e-15 
  119       4.464727878579e-10       1.363237665943e-13      -4.745413550716e-12       0.000000000000e+00       6.387036908341e-12       9.724567080599e-13      -5.973867129868e-15 
  120       4.510708726322e-10       1.375964789994e-13      -4.823083022141e-12       0.000000000000e+00       6.243509075005e-12       9.555594593321e-13      -5.902421119426e-15 
  121       4.556806844668e-10       1.388154892763e-13      -4.899405142147e-12       0.000000000000e+00       6.104103553603e-12       9.390598386683e-13      -5.830044156375e-15 
  122       4.603006997916e-10       1.399793650360e-13      -4.974303652730e-12       0.000000000000e+00       5.968456958929e-12       9.229134529237e-13      -5.756738132879e-15 
  123       4.649294490820e-10       1.410867498592e-13      -5.047703054011e-12       0.000000000000e+00       5.836240149336e-12       9.070810531940e-13      -5.682528978813e-15 
  124       4.695661003476e-10       1.421365133965e-13      -5.119531652876e-12       0.000000000000e+00       5.707406078918e-12       8.915612513122e-13      -5.607557006210e-15 
  125       4.742099364410e-10       1.431276208899e-13      -5.189718918760e-12       0.000000000000e+00       5.581968455726e-12       8.763613318151e-13      -5.531996681898e-15 
  126       4.788601715613e-10       1.440590887296e-13      -5.258194585059e-12       0.000000000000e+00       5.459924271524e-12       8.614870460385e-13      -5.456028703532e-15 
